chemin du ficher,nom du paquet,nom de la classe,NOC,WMC,CBO,CC,RFC
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\XYPlot.java,src.main.java.org.jfree.chart.plot,XYPlot.java,2,110,58,781.0,576.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\CategoryPlot.java,src.main.java.org.jfree.chart.plot,CategoryPlot.java,2,106,59,666.0,514.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\axis\DateAxisTest.java,src.test.java.org.jfree.chart.axis,DateAxisTest.java,0,24,24,33.0,375.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\pie\PiePlot.java,src.main.java.org.jfree.chart.plot.pie,PiePlot.java,1,54,51,312.0,341.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\swing\ChartPanel.java,src.main.java.org.jfree.chart.swing,ChartPanel.java,1,62,28,494.0,339.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\general\DatasetUtilsTest.java,src.test.java.org.jfree.data.general,DatasetUtilsTest.java,0,61,40,56.0,314.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\AbstractXYItemRenderer.java,src.main.java.org.jfree.chart.renderer.xy,AbstractXYItemRenderer.java,18,20,54,180.0,235.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java,src.main.java.org.jfree.chart.axis,Axis.java,4,30,26,182.0,207.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\plot\XYPlotTest.java,src.test.java.org.jfree.chart.plot,XYPlotTest.java,0,45,56,37.0,203.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\time\TimeSeriesTest.java,src.test.java.org.jfree.data.time,TimeSeriesTest.java,0,44,20,37.0,203.0
